# Sweep #00050	3:42:31 PM 1/16/2018
# DAQ: PCI-6221; 16 bits; Timebase 80MHz; Max ADC 250kHz, ETS 20MHz
# Resolutions: Src ADC 0.0uV; Resp ADC 0.0uV
# Max ADC V: Src 0.0V; Resp 0.0V; Repeat 3; Settle 0.080sec
# Waveform Sampling: 25.0 cycles @ 7.5 samples/cycle; no preaveraging
# Signal Generator: Agilent Technologies 33220A Waveform Generator
# Generator:        	                    	                    	Input:              	                    	                    	                    	Response:           	                    	                    	                    
# Freq (Hz)         	Amplitude (V)       	Offset (V)          	Amplitude (V)       	sig Amplitude       	Phase (deg)         	sig Phase           	Amplitude (V)       	sig Amplitude       	Phase (deg)         	sig Phase           
12040.82            	0.05000000          	0.000000            	0.04922331          	0.000006669178      	-6.827243           	0.03474087          	0.1209793           	0.00002826013       	-12.68281           	0.05142857          
12092.04            	0.05000000          	0.000000            	0.04924060          	0.00006524861       	-6.913435           	0.03417212          	0.1223604           	0.00003523519       	-12.89451           	0.06877030          
12203.23            	0.05000000          	0.000000            	0.04915024          	0.000003714949      	-7.264755           	0.03001727          	0.1257638           	0.000009796166      	-13.52472           	0.05146808          
12244.90            	0.05000000          	0.000000            	0.04911933          	0.00003060249       	-7.265162           	0.1592001           	0.1270315           	0.00002979484       	-13.46839           	0.03997395          
12314.42            	0.05000000          	0.000000            	0.04908133          	0.00001516974       	-7.356668           	0.07100934          	0.1293469           	0.00003121956       	-13.84448           	0.03890689          
12425.60            	0.05000000          	0.000000            	0.04902037          	0.00002809150       	-7.640287           	0.08664449          	0.1329908           	0.00004901611       	-14.30456           	0.05077303          
12448.98            	0.05000000          	0.000000            	0.04900107          	0.00002151147       	-7.586321           	0.08834155          	0.1338444           	0.00002713595       	-14.52173           	0.1472935           
12536.79            	0.05000000          	0.000000            	0.04894876          	0.00002148704       	-7.926977           	0.07254653          	0.1370169           	0.00005536855       	-14.95406           	0.01914810          
12647.98            	0.05000000          	0.000000            	0.04887186          	0.00001113142       	-8.203652           	0.2721078           	0.1412825           	0.00004526683       	-15.66476           	0.04594787          
12653.06            	0.05000000          	0.000000            	0.04882190          	0.000003862549      	-8.157015           	0.07602134          	0.1414959           	0.00002090515       	-15.43306           	0.05395104          
12759.16            	0.05000000          	0.000000            	0.04878504          	0.00002618822       	-8.457233           	0.05560455          	0.1458384           	0.00001451861       	-16.22223           	0.06821051          
12857.14            	0.05000000          	0.000000            	0.04864408          	0.00006080007       	-8.712226           	0.07086800          	0.1501717           	0.00004985046       	-16.63911           	0.04084623          
12870.35            	0.05000000          	0.000000            	0.04865524          	0.00002049422       	-8.673366           	0.05938205          	0.1506929           	0.00003657318       	-16.73096           	0.01041925          
